id,visible_area,match_id,teammate,actor,keeper,location
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[61.18975186144653, 61.11212306570756]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,True,False,False,"[62.92021698114404, 78.63201612894198]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[65.73722058482998, 35.82337965653156]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[66.48635170701839, 47.54727734980843]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[70.00837554936389, 20.583483941052492]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.0849736610872, 64.6739127010627]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.33161228044052, 36.38264992396942]"
fa742b13-32df-4dce-8b08-7c6ebb125d5a,"[18.353776267699928, 80.0, 46.43921303086712, 0.0, 71.13489818202899, 0.0, 98.17408302567587, 80.0, 18.353776267699928, 80.0]",3857276,False,False,False,"[76.78526323529927, 49.8921669503232]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[27.935131823754816, 52.619792787163554]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[37.92527191608386, 66.04945280108782]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[42.40299338556038, 9.278969108342771]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,True,False,"[48.400001525878906, 42.5]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[52.49960256988449, 45.9598794189442]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,True,False,False,"[54.140065965420945, 25.77941875549434]"
3a06bcce-1408-4a0b-be01-f6b93f142b30,"[16.790809884016703, 80.0, 45.14567292507089, 0.0, 69.55842920428263, 0.0, 93.04865728697584, 80.0, 16.790809884016703, 80.0]",3857276,False,False,False,"[55.400398867080526, 36.84868576609832]"
